85.000	85.000	0.000
81.000	81.000	0.006
6.000	144.000	0.017
0.000	1.000	0.017
233.000	193.000	0.017
7.000	10.000	0.018
10.000	115.000	0.018
254.000	2.000	0.018
105.000	161.000	0.018
12.000	13.000	0.018
25.000	37.000	0.019
85.000	85.000	0.019
82.000	82.000	0.019
108.000	171.000	0.019
254.000	2.000	0.019
245.000	220.000	0.019
250.000	5.000	0.019
204.000	29.000	0.020
2.000	240.000	0.020
105.000	161.000	0.020
12.000	13.000	0.020
67.000	240.000	0.020
85.000	85.000	0.020
83.000	83.000	0.021
69.000	2.000	0.021
71.000	76.000	0.021
57.000	72.000	0.021
247.000	251.000	0.021
46.000	169.000	0.021
175.000	154.000	0.021
12.000	12.000	0.022
41.000	41.000	0.022
118.000	177.000	0.022
85.000	85.000	0.022
84.000	84.000	0.022
79.000	195.000	0.022
255.000	254.000	0.023
226.000	218.000	0.023
0.000	1.000	0.023
246.000	87.000	0.023
253.000	0.000	0.023
105.000	161.000	0.023
12.000	13.000	0.023
65.000	74.000	0.024
85.000	85.000	0.024
81.000	81.000	0.119
122.000	96.000	0.121
255.000	2.000	0.121
44.000	103.000	0.121
7.000	10.000	0.121
160.000	216.000	0.121
252.000	0.000	0.121
103.000	166.000	0.121
12.000	13.000	0.121
97.000	4.000	0.121
85.000	85.000	0.121
82.000	82.000	0.122
85.000	19.000	0.122
0.000	255.000	0.122
78.000	25.000	0.122
248.000	5.000	0.122
120.000	54.000	0.122
255.000	244.000	0.122
103.000	166.000	0.122
12.000	13.000	0.122
44.000	180.000	0.122
85.000	85.000	0.123
83.000	83.000	0.123
166.000	111.000	0.123
72.000	76.000	0.123
3.000	13.000	0.123
248.000	8.000	0.123
156.000	10.000	0.123
167.000	167.000	0.123
12.000	12.000	0.123
41.000	41.000	0.124
9.000	94.000	0.124
85.000	85.000	0.124
84.000	84.000	0.124
79.000	148.000	0.124
255.000	254.000	0.124
226.000	203.000	0.124
0.000	1.000	0.124
246.000	102.000	0.124
253.000	0.000	0.124
103.000	166.000	0.125
12.000	13.000	0.125
63.000	32.000	0.125
85.000	85.000	0.125
81.000	81.000	0.223
248.000	89.000	0.226
1.000	1.000	0.226
187.000	210.000	0.226
5.000	8.000	0.226
38.000	232.000	0.226
253.000	253.000	0.226
102.000	163.000	0.226
12.000	13.000	0.226
244.000	111.000	0.226
85.000	85.000	0.227
82.000	82.000	0.227
110.000	30.000	0.227
3.000	253.000	0.227
32.000	115.000	0.227
246.000	4.000	0.227
1.000	100.000	0.227
251.000	251.000	0.227
102.000	163.000	0.227
12.000	13.000	0.227
156.000	72.000	0.227
85.000	85.000	0.228
83.000	83.000	0.228
199.000	188.000	0.228
76.000	75.000	0.228
177.000	63.000	0.228
254.000	13.000	0.228
249.000	30.000	0.228
158.000	175.000	0.228
12.000	12.000	0.228
41.000	41.000	0.228
54.000	253.000	0.229
85.000	85.000	0.229
84.000	84.000	0.229
79.000	148.000	0.229
255.000	254.000	0.229
226.000	205.000	0.229
0.000	1.000	0.229
246.000	99.000	0.229
